instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2018,1,0,1,0,6,0,2,14.110847,18.18125,80.5833,10.749882,331,654,985
2,02-01-2018,1,0,1,0,0,0,2,14.902598,17.68695,69.6087,16.652113,131,670,801
3,03-01-2018,1,0,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,120,1229,1349
4,04-01-2018,1,0,1,0,2,1,1,8.2,10.6061,59.0435,10.739832,108,1454,1562
5,05-01-2018,1,0,1,0,3,1,1,9.305237,11.4635,43.6957,12.5223,82,1518,1600
6,06-01-2018,1,0,1,0,4,1,1,8.378268,11.66045,51.8261,6.0008684,88,1518,1606
7,07-01-2018,1,0,1,0,5,1,2,8.057402,10.44195,49.8696,11.304642,148,1362,1510
8,08-01-2018,1,0,1,0,6,0,2,6.765,8.1127,53.5833,17.875868,68,891,959
9,09-01-2018,1,0,1,0,0,0,1,5.671653,5.80875,43.4167,24.25065,54,768,822
10,10-01-2018,1,0,1,0,1,1,1,6.184153,7.5444,48.2917,14.958889,41,1280,1321
11,11-01-2018,1,0,1,0,2,1,2,6.932731,9.5732,68.6364,8.182844,43,1220,1263
12,12-01-2018,1,0,1,0,3,1,1,7.081807,8.02365,59.9545,20.410009,25,1137,1162
13,13-01-2018,1,0,1,0,4,1,1,6.765,7.54415,47.0417,20.167,38,1368,1406
14,14-01-2018,1,0,1,0,5,1,1,6.59567,9.42065,53.7826,8.478716,54,1367,1421
15,15-01-2018,1,0,1,0,6,0,2,9.566653,12.4056,49.875,10.583521,222,1026,1248
16,16-01-2018,1,0,1,0,0,0,1,9.498347,11.71085,48.375,12.625011,251,953,1204
17,17-01-2018,1,0,1,1,1,0,2,7.209153,8.83855,53.75,12.999139,117,883,1000
18,18-01-2018,1,0,1,0,2,1,2,8.883347,11.61665,86.1667,9.833925,9,674,683
19,19-01-2018,1,0,1,0,3,1,2,11.979134,14.9211,74.1739,13.957239,78,1572,1650
20,20-01-2018,1,0,1,0,4,1,2,10.728347,12.7525,53.8333,13.125568,83,1844,1927
21,21-01-2018,1,0,1,0,5,1,1,7.2775,7.89165,45.7083,23.667214,75,1468,1543
22,22-01-2018,1,0,1,0,6,0,1,2.4243464,3.95348,40,11.52199,93,888,981
23,23-01-2018,1,0,1,0,0,0,1,3.9573897,4.941955,43.6522,16.5222,150,836,986
24,24-01-2018,1,0,1,0,1,1,1,3.9930433,5.8965,49.1739,10.60811,86,1330,1416
25,25-01-2018,1,0,1,0,2,1,2,9.162598,11.7263,61.6957,8.696332,186,1799,1985
26,26-01-2018,1,0,1,0,3,1,3,8.9175,10.18,86.25,19.68795,34,472,506
27,27-01-2018,1,0,1,0,4,1,1,7.995,10.985,68.75,7.627079,15,416,431
28,28-01-2018,1,0,1,0,5,1,2,8.342598,11.16585,79.3043,8.2611,38,1129,1167
29,29-01-2018,1,0,1,0,6,0,1,8.057402,10.6063,65.1739,9.739455,123,975,1098
30,30-01-2018,1,0,1,0,0,0,1,8.877402,12.5161,72.2174,4.9568342,140,956,1096
31,31-01-2018,1,0,1,0,1,1,2,7.414153,9.3125,60.375,12.541864,42,1459,1501
32,01-02-2018,1,0,2,0,2,1,2,7.879134,11.7265,82.9565,3.565271,47,1313,1360
33,02-02-2018,1,0,2,0,3,1,2,10.66,12.72085,77.5417,17.708636,72,1454,1526
34,03-02-2018,1,0,2,0,4,1,1,7.665237,8.8939,43.7826,18.609384,61,1489,1550
35,04-02-2018,1,0,2,0,5,1,2,8.663464,11.42935,58.5217,8.565213,88,1620,1708
36,05-02-2018,1,0,2,0,6,0,2,9.566653,12.1529,92.9167,10.792293,100,905,1005
37,06-02-2018,1,0,2,0,0,0,1,11.719153,14.58355,56.8333,9.5006,354,1269,1623
38,07-02-2018,1,0,2,0,1,1,1,11.138347,15.1829,73.8333,3.0423561,120,1592,1712
39,08-02-2018,1,0,2,0,2,1,1,9.054153,9.9123,53.7917,24.25065,64,1466,1530
40,09-02-2018,1,0,2,0,3,1,2,5.526103,7.21415,49.4783,12.652213,53,1552,1605
41,10-02-2018,1,0,2,0,4,1,1,5.918268,7.4774,43.7391,14.869645,47,1491,1538
42,11-02-2018,1,0,2,0,5,1,1,7.752731,10.67545,50.6364,7.27285,149,1597,1746
43,12-02-2018,1,0,2,0,6,0,1,9.1225,11.6477,54.4167,13.625589,288,1184,1472
44,13-02-2018,1,0,2,0,0,0,1,12.977402,16.20565,45.7391,17.479161,397,1192,1589
45,14-02-2018,1,0,2,0,1,1,1,17.015,19.9175,37.5833,27.999836,208,1705,1913
46,15-02-2018,1,0,2,0,2,1,1,10.909567,12.7137,31.4348,19.522058,140,1675,1815
47,16-02-2018,1,0,2,0,3,1,1,13.048701,15.81,42.3478,16.869997,218,1897,2115
48,17-02-2018,1,0,2,0,4,1,1,17.869153,21.4329,50.5,15.416968,259,2216,2475
49,18-02-2018,1,0,2,0,5,1,1,21.388347,25.59915,51.6667,17.749975,579,2348,2927
50,19-02-2018,1,0,2,0,6,0,1,16.365847,19.5702,18.7917,34.000021,532,1103,1635
51,20-02-2018,1,0,2,0,0,0,1,11.693897,13.8665,40.7826,14.956745,639,1173,1812
52,21-02-2018,1,0,2,1,1,0,2,12.436653,14.20375,60.5,20.625682,195,912,1107
53,22-02-2018,1,0,2,0,2,1,1,7.471102,9.30165,57.7778,13.110761,74,1376,1450
54,23-02-2018,1,0,2,0,3,1,1,9.091299,12.28585,42.3043,6.305571,139,1778,1917
55,24-02-2018,1,0,2,0,4,1,2,12.121732,14.45955,69.7391,16.783232,100,1707,1807
56,25-02-2018,1,0,2,0,5,1,2,14.938268,17.52305,71.2174,23.218113,120,1341,1461
57,26-02-2018,1,0,2,0,6,0,1,11.5825,14.1096,53.7917,12.500257,424,1545,1969
58,27-02-2018,1,0,2,0,0,0,1,14.082598,17.55545,68,8.391616,694,1708,2402
59,28-02-2018,1,0,2,0,1,1,2,16.698193,20.0059,87.6364,19.408962,81,1365,1446
60,01-03-2018,1,0,3,0,2,1,1,10.933347,13.19395,53.5,14.500475,137,1714,1851
61,02-03-2018,1,0,3,0,3,1,1,13.735,16.00355,44.9583,20.624811,231,1903,2134
62,03-03-2018,1,0,3,0,4,1,1,8.131653,10.00665,31.8333,15.125518,123,1562,1685
63,04-03-2018,1,0,3,0,5,1,2,10.728347,12.78395,61.0417,13.624182,214,1730,1944
64,05-03-2018,1,0,3,0,6,0,2,15.750847,18.93895,78.9167,16.875357,640,1437,2077
65,06-03-2018,1,0,3,0,0,0,2,15.437402,18.3126,94.8261,23.000229,114,491,605
66,07-03-2018,1,0,3,0,1,1,1,10.731299,11.92305,55.1304,22.870584,244,1628,1872
67,08-03-2018,1,0,3,0,2,1,1,11.9925,15.12,42.0833,8.08355,316,1817,2133
68,09-03-2018,1,0,3,0,3,1,2,12.129153,14.3304,77.5417,14.75005,191,1700,1891
69,10-03-2018,1,0,3,0,4,1,3,15.952731,19.2834,0,17.545759,46,577,623
70,11-03-2018,1,0,3,0,5,1,2,12.977402,15.25,64.9565,15.60899,247,1730,1977
71,12-03-2018,1,0,3,0,6,0,1,13.495847,16.2875,59.4583,14.791925,724,1408,2132
72,13-03-2018,1,0,3,0,0,0,1,15.758268,19.00455,52.7391,18.130468,982,1435,2417
73,14-03-2018,1,0,3,0,1,1,1,13.333897,16.6,49.6957,9.174042,359,1687,2046
74,15-03-2018,1,0,3,0,2,1,2,13.013031,15.9089,65.5652,12.348703,289,1767,2056
75,16-03-2018,1,0,3,0,3,1,2,14.973897,18.3465,77.6522,13.608839,321,1871,2192
76,17-03-2018,1,0,3,0,4,1,1,17.015,20.51665,60.2917,14.041793,424,2320,2744
77,18-03-2018,1,0,3,0,5,1,1,22.14,26.35045,52.5217,15.478139,884,2355,3239
78,19-03-2018,1,0,3,0,6,0,1,19.3725,23.32625,37.9167,24.667189,1424,1693,3117
79,20-03-2018,1,0,3,0,0,0,1,13.6325,16.2875,47.375,13.917307,1047,1424,2471
80,21-03-2018,2,0,3,0,1,1,2,17.647835,20.48675,73.7391,19.348461,401,1676,2077
81,22-03-2018,2,0,3,0,2,1,1,18.108347,22.0321,62.4583,15.12525,460,2243,2703
82,23-03-2018,2,0,3,0,3,1,2,14.225237,16.89695,83.9565,15.695487,203,1918,2121
83,24-03-2018,2,0,3,0,4,1,2,11.685,13.54165,80.5833,16.333729,166,1699,1865
84,25-03-2018,2,0,3,0,5,1,1,10.830847,12.8156,49.5,15.458575,300,1910,2210
85,26-03-2018,2,0,3,0,6,0,1,10.899153,12.87855,39.4167,14.041257,981,1515,2496
86,27-03-2018,2,0,3,0,0,0,2,10.374763,12.51695,49.3913,12.3481,472,1221,1693
87,28-03-2018,2,0,3,0,1,1,1,10.838268,12.8787,30.2174,14.217668,222,1806,2028
88,29-03-2018,2,0,3,0,2,1,1,12.4025,14.6454,31.4167,15.208732,317,2108,2425
89,30-03-2018,2,0,3,0,3,1,2,12.3,14.8675,64.6667,11.583496,168,1368,1536
90,31-03-2018,2,0,3,0,4,1,3,11.001653,12.87875,91.8333,14.582282,179,1506,1685
91,01-04-2018,2,0,4,0,5,1,2,12.3,14.1727,68.625,17.333436,307,1920,2227
92,02-04-2018,2,0,4,0,6,0,2,12.915,15.78185,65.375,13.208782,898,1354,2252
93,03-04-2018,2,0,4,0,0,0,1,15.511653,18.93835,48,12.208271,1651,1598,3249
94,04-04-2018,2,0,4,0,1,1,1,23.506653,27.14645,42.625,25.833257,734,2381,3115
95,05-04-2018,2,0,4,0,2,1,2,16.980847,19.9175,64.2083,26.000489,167,1628,1795
96,06-04-2018,2,0,4,0,3,1,1,16.024153,19.3804,47.0833,17.625221,413,2395,2808
97,07-04-2018,2,0,4,0,4,1,1,17.9375,21.6848,60.2917,10.874904,571,2570,3141
98,08-04-2018,2,0,4,0,5,1,2,13.769153,16.22395,83.625,15.208464,172,1299,1471
99,09-04-2018,2,0,4,0,6,0,2,14.0425,17.07645,87.75,8.916561,879,1576,2455
100,10-04-2018,2,0,4,0,0,0,2,17.493347,21.33685,85.75,9.833389,1188,1707,2895
101,11-04-2018,2,0,4,0,1,1,2,24.421732,28.26085,71.6956,21.739758,855,2493,3348
102,12-04-2018,2,0,4,0,2,1,2,20.6025,24.6527,73.9167,18.416893,257,1777,2034
103,13-04-2018,2,0,4,0,3,1,2,16.9125,20.86415,81.9167,16.791339,209,1953,2162
104,14-04-2018,2,0,4,0,4,1,1,19.1675,23.1371,54.0417,7.4169,529,2738,3267
105,15-04-2018,2,0,4,1,5,0,1,18.313347,22.09565,67.125,15.167125,642,2484,3126
106,16-04-2018,2,0,4,0,6,0,3,17.664153,21.2746,88.8333,22.834136,121,674,795
107,17-04-2018,2,0,4,0,0,0,1,18.723347,22.2848,47.9583,20.334232,1558,2186,3744
108,18-04-2018,2,0,4,0,1,1,1,21.0125,25.1573,54.25,10.958989,669,2760,3429
109,19-04-2018,2,0,4,0,2,1,2,20.739153,24.4629,66.5833,10.584057,409,2795,3204
110,20-04-2018,2,0,4,0,3,1,1,24.395,28.2196,61.4167,16.208975,613,3331,3944
111,21-04-2018,2,0,4,0,4,1,1,18.825847,22.6946,40.7083,21.792286,745,3444,4189
112,22-04-2018,2,0,4,0,5,1,2,13.803347,16.0977,72.9583,14.707907,177,1506,1683
113,23-04-2018,2,0,4,0,6,0,2,18.86,22.50605,88.7917,15.458575,1462,2574,4036
114,24-04-2018,2,0,4,0,0,0,2,23.848347,27.58815,81.0833,12.875725,1710,2481,4191
